Action,ItemID,StartPrice,Title,CustomLabel,MarketplaceIntelligenceReason
Revise,147391517839,1.36,Kyogre 003/025 NM Celebrations,06.17.26.1-004,"Market $1.36; buyer pays shipping, no shipping adjustment; configurable strategy target $1.36."
Revise,147395286175,1.74,Infuriate (Foil Etched) 41 Strixhaven: Mystical Archives MTG Foil NM,CS-NRSPKB,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286176,1.74,Eastern Paladin 132 Rare 7th Edition Magic: The Gathering Near Mint,CS-RDCEUC,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286177,1.74,Channel (Foil Etched) 50 Strixhaven: Mystical Archives MTG Foil NM,CS-3BS7DJ,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286178,1.74,Timeless Dragon (Extended Art) 445 Modern Horizons 2 MTG NM,CS-3RYMCJ,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286179,1.74,Modular Monstrosity 155/216 Rare The List Reprints Magic: The Gathering Foil NM,CS-2JDAHT,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286180,1.99,Dr. Julius Jumblemorph 130 Mythic Unstable Magic: The Gathering Foil Near Mint,CS-WQDWCM,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147395286181,1.99,Better Than One 128 Rare Unstable Magic: The Gathering Foil Near Mint,CS-WUVUQM,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147395286182,1.74,Intrepid Hero 26 Rare 8th Edition Magic: The Gathering Near Mint,CS-44QN5A,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286184,1.99,Hot Fix 133 Rare Unstable Magic: The Gathering Foil Near Mint,CS-UDS2HH,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147395286185,1.74,Strategic Planning (Foil Etched) 20 Strixhaven: Mystical Archives MTG Foil NM,CS-BZSA9R,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286186,1.74,Jhoira of the Ghitu 1 Duel Decks: Mind vs. Might Magic: The Gathering Foil NM,CS-MF7HUV,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286187,1.99,Nahiri's Warcrafting (Extended Art) 365 March of the Machine MTG Foil NM,CS-Z8QJHN,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147395286188,1.74,Magnivore 202 Rare 9th Edition Magic: The Gathering Near Mint,CS-2U3CXF,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147395286189,1.99,Mascot Exhibition (Extended Art) 285 Strixhaven: School of Mages MTG Foil NM,CS-TJTGXB,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147395286190,1.74,As Luck Would Have It 102/216 The List Reprints Magic: The Gathering Foil NM,CS-Z5E5SR,"Market $1.74; buyer pays shipping, no shipping adjustment; configurable strategy target $1.74."
Revise,147405070252,1.99,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,ETB-05-B,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147405070258,1.99,MONKEY.D.LUFFY OP15-092 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,ETB-05-B,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147405070260,1.99,MONKEY.D.LUFFY OP15-092 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,ETB-05-B,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147405070271,1.99,"DON!! CARD ""RING THAT GOLDEN BELL!!"""" ADVENTURE ON KAMI'S ISLAND FOIL NM""",ETB-05-B,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
Revise,147405070274,1.99,USOPP OP15-024 ADVENTURE ON KAMI'S ISLAND FOIL RARE NM,ETB-05-B,"Market $1.99; buyer pays shipping, no shipping adjustment; configurable strategy target $1.99."
