putnam_card_id,catalog_set,card_name,printed_number,product_id,product_name,status,score,catalog_norm,product_norm
pkm-paldean-fates-65-91-7e6e333c9f,Paldean Fates,Revavroom,65/91,534427,Revavroom - 065/091,LINKED,1.00,revavroom,revavroom
pkm-paldean-fates-68-91-315fb011e5,Paldean Fates,Noibat,68/91,534430,Noibat - 068/091,LINKED,1.00,noibat,noibat
pkm-paldean-fates-69-91-583187a244,Paldean Fates,Noivern ex,69/91,534431,Noivern ex - 069/091,LINKED,1.00,noivern ex,noivern ex
pkm-paldean-fates-70-91-15f29f7943,Paldean Fates,Cyclizar,70/91,534432,Cyclizar - 070/091,LINKED,1.00,cyclizar,cyclizar
pkm-paldean-fates-71-91-d1bfe2edc2,Paldean Fates,Lechonk,71/91,534433,Lechonk - 071/091,LINKED,1.00,lechonk,lechonk
pkm-paldean-fates-73-91-4b2ee5a61b,Paldean Fates,Tandemaus,73/91,534435,Tandemaus - 073/091,LINKED,1.00,tandemaus,tandemaus
pkm-paldean-fates-74-91-0b2ff58e60,Paldean Fates,Maushold,74/91,534436,Maushold - 074/091,LINKED,1.00,maushold,maushold
pkm-paldean-fates-75-91-790687144c,Paldean Fates,Squawkabilly ex,75/91,534437,Squawkabilly ex - 075/091,LINKED,1.00,squawkabilly ex,squawkabilly ex
pkm-paldean-fates-78-91-59d7565553,Paldean Fates,Clive,78/91,534440,Clive - 078/091,LINKED,1.00,clive,clive
pkm-paldean-fates-80-91-3485dd279b,Paldean Fates,Iono,80/91,534442,Iono - 080/091,LINKED,1.00,iono,iono
pkm-paldean-fates-82-91-3a036dbac6,Paldean Fates,Nemona,82/91,534444,Nemona - 082/091,LINKED,1.00,nemona,nemona
pkm-paldean-fates-83-91-a1024b5855,Paldean Fates,Nemona's Backpack,83/91,,,NO_CANDIDATE,
pkm-paldean-fates-85-91-dbf1d9cb18,Paldean Fates,Paldean Student,85/91,534447,Paldean Student - 085/091,LINKED,1.00,paldean student,paldean student
pkm-paldean-fates-86-91-e4afa3bf2d,Paldean Fates,Paldean Student,86/91,534448,Paldean Student - 086/091,LINKED,1.00,paldean student,paldean student
pkm-paldean-fates-87-91-4c06418efc,Paldean Fates,Professor's Research,87/91,534449,Professor's Research - 087/091,LINKED,1.00,professor s research,professor s research
pkm-paldean-fates-88-91-80c6856788,Paldean Fates,Professor's Research,88/91,534450,Professor's Research - 088/091,LINKED,1.00,professor s research,professor s research
pkm-paldean-fates-99-91-786184d261,Paldean Fates,Pineco,99/91,534470,Pineco - 099/091,LINKED,1.00,pineco,pineco
pkm-paldean-fates-105-91-26db98b421,Paldean Fates,Toedscool,105/91,534478,Toedscool - 105/091,LINKED,1.00,toedscool,toedscool
pkm-paldean-fates-109-91-e4dc516066,Paldean Fates,Charmander,109/91,534483,Charmander - 109/091,LINKED,1.00,charmander,charmander
pkm-paldean-fates-110-91-5483a47a3a,Paldean Fates,Charmeleon,110/91,534484,Charmeleon - 110/091,LINKED,1.00,charmeleon,charmeleon
pkm-paldean-fates-111-91-3da051b750,Paldean Fates,Paldean Tauros,111/91,534485,Paldean Tauros - 111/091,LINKED,1.00,paldean tauros,paldean tauros
pkm-paldean-fates-114-91-ef0872f7e7,Paldean Fates,Charcadet,114/91,534496,Charcadet - 114/091,LINKED,1.00,charcadet,charcadet
pkm-paldean-fates-115-91-dcffae283e,Paldean Fates,Armarouge,115/91,534497,Armarouge - 115/091,LINKED,1.00,armarouge,armarouge
pkm-paldean-fates-120-91-d87e5c73aa,Paldean Fates,Paldean Tauros,120/91,534511,Paldean Tauros - 120/091,LINKED,1.00,paldean tauros,paldean tauros
pkm-paldean-fates-121-91-60f6a12e0e,Paldean Fates,Wiglett,121/91,534512,Wiglett - 121/091,LINKED,1.00,wiglett,wiglett
pkm-paldean-fates-122-91-a232de60f7,Paldean Fates,Wugtrio,122/91,534513,Wugtrio - 122/091,LINKED,1.00,wugtrio,wugtrio
pkm-paldean-fates-124-91-987dbdab86,Paldean Fates,Palafin,124/91,534515,Palafin - 124/091,LINKED,1.00,palafin,palafin
pkm-paldean-fates-125-91-78e0cfede4,Paldean Fates,Veluza,125/91,534516,Veluza - 125/091,LINKED,1.00,veluza,veluza
pkm-paldean-fates-128-91-83168709ba,Paldean Fates,Frigibax,128/91,534519,Frigibax - 128/091,LINKED,1.00,frigibax,frigibax
pkm-paldean-fates-131-91-342f41e621,Paldean Fates,Pikachu,131/91,534522,Pikachu - 131/091,LINKED,1.00,pikachu,pikachu
pkm-paldean-fates-132-91-6d91cc81cc,Paldean Fates,Raichu,132/91,534523,Raichu - 132/091,LINKED,1.00,raichu,raichu
pkm-paldean-fates-142-91-415f90697c,Paldean Fates,Pawmi,142/91,534577,Pawmi - 142/091,LINKED,1.00,pawmi,pawmi
pkm-paldean-fates-146-91-cfc0a587a0,Paldean Fates,Kilowattrel,146/91,534584,Kilowattrel - 146/091,LINKED,1.00,kilowattrel,kilowattrel
pkm-paldean-fates-151-91-db21ced1ce,Paldean Fates,Natu,151/91,534642,Natu - 151/091,LINKED,1.00,natu,natu
pkm-paldean-fates-152-91-8e1a582d4e,Paldean Fates,Xatu,152/91,534646,Xatu - 152/091,LINKED,1.00,xatu,xatu
pkm-paldean-fates-153-91-0ddfca9c74,Paldean Fates,Ralts,153/91,534650,Ralts - 153/091,LINKED,1.00,ralts,ralts
pkm-paldean-fates-154-91-e43df30804,Paldean Fates,Kirlia,154/91,534659,Kirlia - 154/091,LINKED,1.00,kirlia,kirlia
pkm-paldean-fates-157-91-c2251894af,Paldean Fates,Mime Jr.,157/91,534671,Mime Jr. - 157/091,LINKED,1.00,mime jr,mime jr
pkm-paldean-fates-160-91-c7abaf7ab8,Paldean Fates,Mimikyu,160/91,534683,Mimikyu -160/091,LINKED,1.00,mimikyu,mimikyu
pkm-paldean-fates-161-91-3f21c8d80b,Paldean Fates,Dachsbun,161/91,534685,Dachsbun - 161/091,LINKED,1.00,dachsbun,dachsbun
pkm-paldean-fates-162-91-e82e223245,Paldean Fates,Ceruledge,162/91,534687,Ceruledge - 162/091,LINKED,1.00,ceruledge,ceruledge
pkm-paldean-fates-164-91-04f73aa561,Paldean Fates,Flittle,164/91,534694,Flittle - 164/091,LINKED,1.00,flittle,flittle
pkm-paldean-fates-165-91-8e57cc2d11,Paldean Fates,Tinkatink,165/91,,,NO_CANDIDATE,
pkm-paldean-fates-166-91-ef739cc778,Paldean Fates,Tinkatuff,166/91,,,NO_CANDIDATE,
pkm-paldean-fates-167-91-b91c030a4e,Paldean Fates,Tinkaton,167/91,,,NO_CANDIDATE,
pkm-paldean-fates-168-91-5930ad64a5,Paldean Fates,Houndstone,168/91,534724,Houndstone - 168/091,LINKED,1.00,houndstone,houndstone
pkm-paldean-fates-169-91-2b799b0853,Paldean Fates,Mankey,169/91,534728,Mankey - 169/091,LINKED,1.00,mankey,mankey
pkm-paldean-fates-170-91-6854bcf1aa,Paldean Fates,Primeape,170/91,534730,Primeape - 170/091,LINKED,1.00,primeape,primeape
pkm-paldean-fates-171-91-263cb19f02,Paldean Fates,Annihilape,171/91,534733,Annihilape - 171/091,LINKED,1.00,annihilape,annihilape
pkm-paldean-fates-172-91-cae8a66c66,Paldean Fates,Paldean Tauros,172/91,535956,Paldean Tauros - 172/091,LINKED,1.00,paldean tauros,paldean tauros
pkm-paldean-fates-176-91-51451ea5d8,Paldean Fates,Nacli,176/91,534762,Nacli - 176/091,LINKED,1.00,nacli,nacli
pkm-paldean-fates-180-91-31d5935a05,Paldean Fates,Paldean Wooper,180/91,535093,Paldean Wooper - 180/091,LINKED,1.00,paldean wooper,paldean wooper
pkm-paldean-fates-188-91-7ef2572b53,Paldean Fates,Mabosstiff,188/91,535135,Mabosstiff - 188/091,LINKED,1.00,mabosstiff,mabosstiff
pkm-paldean-fates-189-91-3a2301ff59,Paldean Fates,Shroodle,189/91,535143,Shroodle - 189/091,LINKED,1.00,shroodle,shroodle
pkm-paldean-fates-192-91-677708387b,Paldean Fates,Varoom,192/91,535151,Varoom - 192/091,LINKED,1.00,varoom,varoom
pkm-paldean-fates-193-91-87fee61d49,Paldean Fates,Revavroom,193/91,535153,Revavroom - 193/091,LINKED,1.00,revavroom,revavroom
pkm-paldean-fates-194-91-a7e87fcdb8,Paldean Fates,Noibat,194/91,535155,Noibat - 194/091,LINKED,1.00,noibat,noibat
pkm-paldean-fates-195-91-1cebdf68d7,Paldean Fates,Cyclizar,195/91,535157,Cyclizar - 195/091,LINKED,1.00,cyclizar,cyclizar
pkm-paldean-fates-207-91-25578f4ded,Paldean Fates,Lechonk,207/91,535213,Lechonk - 207/091,LINKED,1.00,lechonk,lechonk
pkm-paldean-fates-208-91-553858ea76,Paldean Fates,Oinkologne,208/91,535955,Oinkologne - 208/091,LINKED,1.00,oinkologne,oinkologne
pkm-paldean-fates-209-91-6ea0cbfcaf,Paldean Fates,Tandemaus,209/91,535214,Tandemaus - 209/091,LINKED,1.00,tandemaus,tandemaus
pkm-paldean-fates-210-91-a1c8d6a62b,Paldean Fates,Maushold,210/91,535215,Maushold - 210/091,LINKED,1.00,maushold,maushold
pkm-paldean-fates-212-91-4666e6366e,Paldean Fates,Forretress ex,212/91,535297,Forretress ex - 212/091,LINKED,1.00,forretress ex,forretress ex
pkm-paldean-fates-213-91-1b39b9cdd0,Paldean Fates,Toedscruel ex,213/91,535299,Toedscruel ex - 213/091,LINKED,1.00,toedscruel ex,toedscruel ex
pkm-paldean-fates-214-91-c322f9a495,Paldean Fates,Espathra ex,214/91,535303,Espathra ex - 214/091,LINKED,1.00,espathra ex,espathra ex
pkm-paldean-fates-216-91-4042f6bb14,Paldean Fates,Mew ex,216/91,535527,Mew ex - 216/091,LINKED,1.00,mew ex,mew ex
pkm-paldean-fates-217-91-f6b4d333e3,Paldean Fates,Gardevoir ex,217/91,535530,Gardevoir ex - 217/091,LINKED,1.00,gardevoir ex,gardevoir ex
pkm-paldean-fates-219-91-3908e23fd7,Paldean Fates,Paldean Clodsire ex,219/91,535537,Paldean Clodsire ex - 219/091,LINKED,1.00,paldean clodsire ex,paldean clodsire ex
pkm-paldean-fates-220-91-57f69c4341,Paldean Fates,Noivern ex,220/91,535541,Noivern ex - 220/091,LINKED,1.00,noivern ex,noivern ex
pkm-paldean-fates-223-91-544e13d697,Paldean Fates,Squawkabilly ex,223/91,535654,Squawkabilly ex - 223/091,LINKED,1.00,squawkabilly ex,squawkabilly ex
pkm-paldean-fates-224-91-0d3c743298,Paldean Fates,Wugtrio,224/91,534731,Wugtrio - 224/091,LINKED,1.00,wugtrio,wugtrio
pkm-paldean-fates-225-91-15641c75b4,Paldean Fates,Palafin,225/91,534736,Palafin - 225/091,LINKED,1.00,palafin,palafin
pkm-paldean-fates-226-91-6ffb88efb3,Paldean Fates,Pawmi,226/91,534739,Pawmi - 226/091,LINKED,1.00,pawmi,pawmi
pkm-paldean-fates-227-91-2d12c36d04,Paldean Fates,Clive,227/91,534743,Clive - 227/091,LINKED,1.00,clive,clive
pkm-paldean-fates-229-91-f3b8625050,Paldean Fates,Nemona,229/91,534754,Nemona - 229/091,LINKED,1.00,nemona,nemona
pkm-paldean-fates-230-91-0e4db01e8e,Paldean Fates,Paldean Student,230/91,534757,Paldean Student - 230/091,LINKED,1.00,paldean student,paldean student
pkm-paldean-fates-231-91-425a1c119b,Paldean Fates,Paldean Student,231/91,534758,Paldean Student - 231/091,LINKED,1.00,paldean student,paldean student
pkm-paldean-fates-232-91-e30896a997,Paldean Fates,Mew ex,232/91,534919,Mew ex - 232/091,LINKED,1.00,mew ex,mew ex
pkm-paldean-fates-233-91-233d29e108,Paldean Fates,Gardevoir ex,233/91,535085,Gardevoir ex - 233/091,LINKED,1.00,gardevoir ex,gardevoir ex
pkm-paldean-fates-234-91-67901c527c,Paldean Fates,Charizard ex,234/91,535090,Charizard ex - 234/091,LINKED,1.00,charizard ex,charizard ex
pkm-paldean-fates-236-91-c201895d02,Paldean Fates,Clive,236/91,535098,Clive - 236/091,LINKED,1.00,clive,clive
pkm-paldean-fates-237-91-47bbdcce04,Paldean Fates,Iono,237/91,535101,Iono - 237/091,LINKED,1.00,iono,iono
pkm-paldean-fates-238-91-2117158193,Paldean Fates,Nemona,238/91,535104,Nemona - 238/091,LINKED,1.00,nemona,nemona
pkm-paldean-fates-244-91-200cc586af,Paldean Fates,Ting-Lu ex,244/91,,,NO_CANDIDATE,
pkm-temporal-forces-5-162-d13941c454,Temporal Forces,Shiftry,5/162,542650,Shiftry - 005/162,LINKED,1.00,shiftry,shiftry
pkm-temporal-forces-11-162-fe9e9f178a,Temporal Forces,Grotle,11/162,542669,Grotle - 011/162,LINKED,1.00,grotle,grotle
pkm-temporal-forces-12-162-012c34f978,Temporal Forces,Torterra ex,12/162,542658,Torterra ex - 012/162,LINKED,1.00,torterra ex,torterra ex
pkm-temporal-forces-16-162-1731ae803e,Temporal Forces,Deerling,16/162,542678,Deerling - 016/162,LINKED,1.00,deerling,deerling
pkm-temporal-forces-17-162-aa51a33b73,Temporal Forces,Sawsbuck,17/162,542762,Sawsbuck - 017/162,LINKED,1.00,sawsbuck,sawsbuck
pkm-temporal-forces-25-162-6211c00b05,Temporal Forces,Iron Leaves ex,25/162,542769,Iron Leaves ex - 025/162,LINKED,1.00,iron leaves ex,iron leaves ex
pkm-temporal-forces-30-162-5ed8bca909,Temporal Forces,Victini,30/162,,,NO_CANDIDATE,
pkm-temporal-forces-32-162-fe2c42a40f,Temporal Forces,Litten,32/162,542776,Litten - 032/162,LINKED,1.00,litten,litten
pkm-temporal-forces-34-162-acb943b993,Temporal Forces,Incineroar ex,34/162,542778,Incineroar ex - 034/162,LINKED,1.00,incineroar ex,incineroar ex
pkm-temporal-forces-38-162-6a19cefe07,Temporal Forces,Gouging Fire ex,38/162,542782,Gouging Fire ex - 038/162,LINKED,1.00,gouging fire ex,gouging fire ex
pkm-temporal-forces-45-162-db8bf6f7f9,Temporal Forces,Snom,45/162,542789,Snom - 045/162,LINKED,1.00,snom,snom
pkm-temporal-forces-50-162-f010b5c882,Temporal Forces,Walking Wake ex,50/162,542794,Walking Wake ex - 050/162,LINKED,1.00,walking wake ex,walking wake ex
pkm-temporal-forces-55-162-9a38851899,Temporal Forces,Charjabug,55/162,542799,Charjabug - 055/162,LINKED,1.00,charjabug,charjabug
pkm-temporal-forces-60-162-2cd02d6839,Temporal Forces,Wugtrio ex,60/162,542804,Wugtrio ex - 060/162,LINKED,1.00,wugtrio ex,wugtrio ex
pkm-temporal-forces-68-162-d900920c66,Temporal Forces,Bronzor,68/162,542812,Bronzor - 068/162,LINKED,1.00,bronzor,bronzor
pkm-temporal-forces-72-162-83c381961d,Temporal Forces,Reuniclus,72/162,542816,Reuniclus - 072/162,LINKED,1.00,reuniclus,reuniclus
pkm-temporal-forces-75-162-4f6378de50,Temporal Forces,Cutiefly,75/162,542819,Cutiefly - 075/162,LINKED,1.00,cutiefly,cutiefly
pkm-temporal-forces-79-162-f099e7a47b,Temporal Forces,Iron Valiant,79/162,542823,Iron Valiant - 079/162,LINKED,1.00,iron valiant,iron valiant
pkm-temporal-forces-80-162-3af18c6ae3,Temporal Forces,Iron Valiant,80/162,542824,Iron Valiant - 080/162,LINKED,1.00,iron valiant,iron valiant
pkm-temporal-forces-81-162-4eca2b0c86,Temporal Forces,Iron Crown ex,81/162,542825,Iron Crown ex - 081/162,LINKED,1.00,iron crown ex,iron crown ex
pkm-temporal-forces-84-162-fb60b87835,Temporal Forces,Relicanth,84/162,542828,Relicanth - 084/162,LINKED,1.00,relicanth,relicanth
pkm-temporal-forces-86-162-1c3423f81a,Temporal Forces,Excadrill,86/162,542830,Excadrill - 086/162,LINKED,1.00,excadrill,excadrill
pkm-temporal-forces-92-162-5f93a84da4,Temporal Forces,Mudsdale,92/162,542836,Mudsdale - 092/162,LINKED,1.00,mudsdale,mudsdale
pkm-temporal-forces-96-162-e5ef619963,Temporal Forces,Great Tusk,96/162,542840,Great Tusk - 096/162,LINKED,1.00,great tusk,great tusk
pkm-temporal-forces-97-162-2cbac9fd3f,Temporal Forces,Great Tusk,97/162,542841,Great Tusk - 097/162,LINKED,1.00,great tusk,great tusk
pkm-temporal-forces-99-162-73502225a5,Temporal Forces,Iron Boulder ex,99/162,542843,Iron Boulder ex - 099/162,LINKED,1.00,iron boulder ex,iron boulder ex
pkm-temporal-forces-101-162-470feb253e,Temporal Forces,Arbok,101/162,542845,Arbok - 101/162,LINKED,1.00,arbok,arbok
pkm-temporal-forces-102-162-b880ffa3e2,Temporal Forces,Gastly,102/162,542846,Gastly - 102/162,LINKED,1.00,gastly,gastly
pkm-temporal-forces-104-162-812cc3340e,Temporal Forces,Gengar ex,104/162,542848,Gengar ex - 104/162,LINKED,1.00,gengar ex,gengar ex
pkm-temporal-forces-108-162-3e4faee700,Temporal Forces,Farigiraf ex,108/162,542852,Farigiraf ex - 108/162,LINKED,1.00,farigiraf ex,farigiraf ex
pkm-temporal-forces-111-162-260dce5f34,Temporal Forces,Scizor ex,111/162,542855,Scizor ex - 111/162,LINKED,1.00,scizor ex,scizor ex
pkm-temporal-forces-115-162-2af05d1246,Temporal Forces,Metagross,115/162,542859,Metagross - 115/162,LINKED,1.00,metagross,metagross
pkm-temporal-forces-116-162-c9505abbe1,Temporal Forces,Meltan,116/162,542860,Meltan - 116/162,LINKED,1.00,meltan,meltan
pkm-temporal-forces-123-162-6583da19e2,Temporal Forces,Raging Bolt ex,123/162,542867,Raging Bolt ex - 123/162,LINKED,1.00,raging bolt ex,raging bolt ex
pkm-temporal-forces-124-162-948eaa55c0,Temporal Forces,Lickitung,124/162,542868,Lickitung - 124/162,LINKED,1.00,lickitung,lickitung
pkm-temporal-forces-132-162-9b4b41e699,Temporal Forces,Chatot,132/162,542876,Chatot - 132/162,LINKED,1.00,chatot,chatot
pkm-temporal-forces-136-162-0468ecaf43,Temporal Forces,Minccino,136/162,542880,Minccino - 136/162,LINKED,1.00,minccino,minccino
pkm-temporal-forces-137-162-d6150a2dd5,Temporal Forces,Cinccino,137/162,542881,Cinccino - 137/162,LINKED,1.00,cinccino,cinccino
pkm-temporal-forces-138-162-38eea1375b,Temporal Forces,Drampa,138/162,542882,Drampa - 138/162,LINKED,1.00,drampa,drampa
pkm-temporal-forces-140-162-4ebf1e01e1,Temporal Forces,Ancient Booster Energy Capsule,140/162,,,NO_CANDIDATE,
pkm-temporal-forces-142-162-bc5fc987d0,Temporal Forces,Bianca's Devotion,142/162,542656,Bianca's Devotion - 142/162,LINKED,1.00,bianca s devotion,bianca s devotion
pkm-temporal-forces-143-162-753351129a,Temporal Forces,Boxed Order,143/162,542657,Boxed Order,LINKED,1.00,boxed order,boxed order
pkm-temporal-forces-145-162-289387e5b0,Temporal Forces,Ciphermaniac's Codebreaking,145/162,542660,Ciphermaniac's Codebreaking - 145/162,LINKED,1.00,ciphermaniac s codebreaking,ciphermaniac s codebreaking
pkm-temporal-forces-146-162-f1aee08ad8,Temporal Forces,Eri,146/162,542661,Eri - 146/162,LINKED,1.00,eri,eri
pkm-temporal-forces-147-162-6d3ca260ee,Temporal Forces,Explorer's Guidance,147/162,542662,Explorer's Guidance - 147/162,LINKED,1.00,explorer s guidance,explorer s guidance
pkm-temporal-forces-149-162-6e16064301,Temporal Forces,Future Booster Energy Capsule,149/162,,,NO_CANDIDATE,
pkm-temporal-forces-155-162-f1b99d6328,Temporal Forces,Morty's Conviction,155/162,542671,Morty's Conviction - 155/162,LINKED,1.00,morty s conviction,morty s conviction
pkm-temporal-forces-160-162-c2f1f53b39,Temporal Forces,Salvatore,160/162,542679,Salvatore - 160/162,LINKED,1.00,salvatore,salvatore
pkm-temporal-forces-163-162-377692dacc,Temporal Forces,Shiftry,163/162,542884,Shiftry - 163/162,LINKED,1.00,shiftry,shiftry
pkm-temporal-forces-164-162-17ae144cb6,Temporal Forces,Grotle,164/162,542885,Grotle - 164/162,LINKED,1.00,grotle,grotle
pkm-temporal-forces-165-162-4864e51e7c,Temporal Forces,Deerling,165/162,542886,Deerling - 165/162,LINKED,1.00,deerling,deerling
pkm-temporal-forces-166-162-172910ab2d,Temporal Forces,Sawsbuck,166/162,542887,Sawsbuck - 166/162,LINKED,1.00,sawsbuck,sawsbuck
pkm-temporal-forces-167-162-f5c484c95d,Temporal Forces,Litten,167/162,542888,Litten - 167/162,LINKED,1.00,litten,litten
pkm-temporal-forces-168-162-b69f1d58cb,Temporal Forces,Snom,168/162,542889,Snom - 168/162,LINKED,1.00,snom,snom
pkm-temporal-forces-169-162-6667719b08,Temporal Forces,Charjabug,169/162,542890,Charjabug - 169/162,LINKED,1.00,charjabug,charjabug
pkm-temporal-forces-170-162-dd6bf5661b,Temporal Forces,Bronzor,170/162,542891,Bronzor - 170/162,LINKED,1.00,bronzor,bronzor
pkm-temporal-forces-171-162-f0606c2eb7,Temporal Forces,Reuniclus,171/162,542892,Reuniclus - 171/162,LINKED,1.00,reuniclus,reuniclus
pkm-temporal-forces-172-162-0e06f464f0,Temporal Forces,Cutiefly,172/162,542893,Cutiefly - 172/162,LINKED,1.00,cutiefly,cutiefly
pkm-temporal-forces-173-162-f8f1bac2b7,Temporal Forces,Relicanth,173/162,542894,Relicanth - 173/162,LINKED,1.00,relicanth,relicanth
pkm-temporal-forces-174-162-1695b89f4c,Temporal Forces,Excadrill,174/162,542895,Excadrill - 174/162,LINKED,1.00,excadrill,excadrill
pkm-temporal-forces-175-162-422d2dd64a,Temporal Forces,Mudsdale,175/162,542896,Mudsdale - 175/162,LINKED,1.00,mudsdale,mudsdale
pkm-temporal-forces-176-162-7a12cd7218,Temporal Forces,Arbok,176/162,542897,Arbok - 176/162,LINKED,1.00,arbok,arbok
pkm-temporal-forces-177-162-474ce1fd5d,Temporal Forces,Gastly,177/162,542898,Gastly - 177/162,LINKED,1.00,gastly,gastly
pkm-temporal-forces-178-162-b89feafd9d,Temporal Forces,Metagross,178/162,542899,Metagross - 178/162,LINKED,1.00,metagross,metagross
pkm-temporal-forces-179-162-dfc3e4f3fc,Temporal Forces,Meltan,179/162,542900,Meltan - 179/162,LINKED,1.00,meltan,meltan
pkm-temporal-forces-180-162-d7ba16b728,Temporal Forces,Lickitung,180/162,542901,Lickitung - 180/162,LINKED,1.00,lickitung,lickitung
pkm-temporal-forces-181-162-8366164e08,Temporal Forces,Chatot,181/162,542902,Chatot - 181/162,LINKED,1.00,chatot,chatot
pkm-temporal-forces-182-162-1f6f82193b,Temporal Forces,Minccino,182/162,542903,Minccino - 182/162,LINKED,1.00,minccino,minccino
pkm-temporal-forces-183-162-bf00134a5b,Temporal Forces,Cinccino,183/162,542904,Cinccino - 183/162,LINKED,1.00,cinccino,cinccino
pkm-temporal-forces-184-162-33ee3b162c,Temporal Forces,Drampa,184/162,542905,Drampa - 184/162,LINKED,1.00,drampa,drampa
