Title,User SKU,Catalog SKU,TCGplayer SKU,TCGplayer Product ID,TCG,Set,Card Number,Rarity,Condition,Variant,Finish,Price,Qty,Status,Grading Company,Cert Number,Grade
Adult Gold Dragon (Borderless) 297 Adventures in the Forgotten Realms MTG NM,,CS-X3CUGF,5050805,243084,mtg,Adventures in the Forgotten Realms,297,Rare,NM,,,1.49,1,listed,,,
Strategic Planning (Foil Etched) 20 Strixhaven: Mystical Archives MTG Foil NM,,CS-BZSA9R,4838756,235158,mtg,Strixhaven: Mystical Archives,20,Uncommon,NM,Foil,,1.49,1,listed,,,
Oddly Uneven 15 Rare Unstable Magic: The Gathering Near Mint,,CS-HMGF7R,3548127,153200,mtg,Unstable,15,Rare,NM,,,1.49,1,listed,,,
Magnivore 202 Rare 9th Edition Magic: The Gathering Near Mint,,CS-2U3CXF,24784,12726,mtg,9th Edition,202,Rare,NM,,,1.49,1,listed,,,
Eastern Paladin 132 Rare 7th Edition Magic: The Gathering Near Mint,,CS-RDCEUC,16973,2882,mtg,7th Edition,132,Rare,NM,,,1.49,1,listed,,,
Surgeon ~General~ Commander 072/096 The List Reprints MTG Foil NM,,CS-8524U5,5835319,287583,mtg,The List Reprints,072/096,Mythic,NM,Foil,,1.49,1,listed,,,
Channel (Foil Etched) 50 Strixhaven: Mystical Archives MTG Foil NM,,CS-3BS7DJ,4837651,235136,mtg,Strixhaven: Mystical Archives,50,Mythic,NM,Foil,,1.49,1,listed,,,
As Luck Would Have It 102/216 The List Reprints Magic: The Gathering Foil NM,,CS-Z5E5SR,5835063,287528,mtg,The List Reprints,102/216,Rare,NM,Foil,,1.49,1,listed,,,
Kindslaver 150/216 Rare The List Reprints Magic: The Gathering Foil Near Mint,,CS-RKD6N5,5835254,287570,mtg,The List Reprints,150/216,Rare,NM,Foil,,1.49,1,listed,,,
Nahiri's Warcrafting (Extended Art) 365 March of the Machine MTG NM,,CS-FB3P9G,7066700,491268,mtg,March of the Machine,365,Rare,NM,,,1.49,1,listed,,,
Revitalize (Foil Etched) 9 Strixhaven: Mystical Archives MTG Foil NM,,CS-BAEW3B,4846257,235489,mtg,Strixhaven: Mystical Archives,9,Uncommon,NM,Foil,,1.49,1,listed,,,
"Kairi, the Swirling Sky 60 Mythic Prerelease Cards Magic: The Gathering Foil NM",,CS-C59ZD8,5445175,263492,mtg,Prerelease Cards,60,Mythic,NM,Foil,,1.49,1,listed,,,
Infuriate (Foil Etched) 41 Strixhaven: Mystical Archives MTG Foil NM,,CS-NRSPKB,4845172,235415,mtg,Strixhaven: Mystical Archives,41,Uncommon,NM,Foil,,1.49,1,listed,,,
Dr. Julius Jumblemorph 130 Mythic Unstable Magic: The Gathering Near Mint,,CS-9F5BPN,3545032,152691,mtg,Unstable,130,Mythic,NM,,,1.49,1,listed,,,
Modular Monstrosity 155/216 Rare The List Reprints Magic: The Gathering Foil NM,,CS-2JDAHT,5835274,287574,mtg,The List Reprints,155/216,Rare,NM,Foil,,1.49,1,listed,,,
Compulsive Research (Foil Etched) 14 Strixhaven: Mystical Archives MTG Foil NM,,CS-B8GB2N,4846192,235486,mtg,Strixhaven: Mystical Archives,14,Rare,NM,Foil,,1.49,1,listed,,,
Intrepid Hero 26 Rare 8th Edition Magic: The Gathering Near Mint,,CS-44QN5A,23348,10986,mtg,8th Edition,26,Rare,NM,,,1.49,1,listed,,,
Timeless Dragon (Extended Art) 445 Modern Horizons 2 Magic: The Gathering NM,,CS-3RYMCJ,4952889,239411,mtg,Modern Horizons 2,445,Rare,NM,,,1.49,1,listed,,,
Hot Fix 133 Rare Unstable Magic: The Gathering Near Mint,,CS-BTXQ9B,3546299,152930,mtg,Unstable,133,Rare,NM,,,1.49,1,listed,,,
"Raphael, Fiendish Savior (Showcase) 438 Battle for Baldur's Gate MTG NM",,CS-JJWBTZ,5604099,272633,mtg,Commander Legends: Battle for Baldur's Gate,438,Rare,NM,,,1.49,1,listed,,,
Feebas 110/106 Art Rare Super Electric Breaker Pokemon Japanese Holo Near Mint,,CS-6EXRJC,8274207,587689,pokemon japanese,Super Electric Breaker,110,Art Rare,NM,Holofoil,,3.99,1,listed,,,
Lunatone 184/172 Art Rare VSTAR Universe Pokemon Japanese Holo Near Mint,,CS-6CZTP5,8142916,571722,pokemon japanese,VSTAR Universe,184,Art Rare,NM,Holofoil,,5.99,1,listed,,,
Alomomola 112/086 Art Rare SV11B: Black Bolt Pokemon Japanese Holo Near Mint,,CS-A76CHS,8768625,636466,pokemon japanese,SV11B: Black Bolt,112/086,Art Rare,NM,Holofoil,,6.99,1,listed,,,
Sylveon (Cosmos Holo) 172 Holo Promo Scarlet & Violet Promo Pokemon Holo NM,,CS-GHCUPB,8499790,611831,pokemon english,Scarlet & Violet Promo,172,Promo,NM,Holofoil,Holo,3.99,1,listed,,,
Stufful 154/132 Illustration Rare Mega Evolution Pokemon Holo Near Mint,,CS-7GD4QN,8937890,654493,pokemon english,Mega Evolution,154,Illustration Rare,NM,Holofoil,,7.99,1,listed,,,
AZ's Tranquility 106/086 Ultra Rare Chaos Rising Pokemon Holo Near Mint,,CS-FGV6R7,9283102,693450,pokemon english,Chaos Rising,106/086,Ultra Rare,NM,Holofoil,,2.63,1,listed,,,
Metang 094/086 Holo Illustration Rare Chaos Rising Pokemon Holo Near Mint,,CS-NAM48E,9283677,693524,pokemon english,Chaos Rising,094/086,Illustration Rare,NM,Holofoil,Holo,4.99,1,listed,,,
Mega Greninja ex 100/086 Ultra Rare Chaos Rising Pokemon Holo Near Mint,,CS-49QUFF,9283622,693516,pokemon english,Chaos Rising,100/086,Ultra Rare,NM,Holofoil,,22.99,1,listed,,,
Erika's Vileplume ex 003/217 Double Rare Ascended Heroes Pokemon Holo Near Mint,,CS-JV59HJ,9123742,675815,pokemon english,Ascended Heroes,003/217,Double Rare,NM,Holofoil,,1.99,1,listed,,,
Ambipom 107/094 Illustration Rare Phantasmal Flames Pokemon Holo Near Mint,,CS-8BHJHK,8995819,662128,pokemon english,Phantasmal Flames,107,Illustration Rare,NM,Holofoil,,2.48,1,listed,,,
Slowpoke 67/82 Common Team Rocket Pokemon 1st Edition Near Mint,,CS-96XXGR,2962273,89322,pokemon english,Team Rocket,67,Common,NM,1st Edition,,4.99,1,listed,,,
Zekrom ex 034/086 Holo Double Rare Black Bolt Pokemon Holo Near Mint,,CS-P9SZ8G,8815337,642486,pokemon english,Black Bolt,034,Double Rare,NM,Holofoil,Holo,1.99,1,listed,,,
Lycanroc 166/159 Illustration Rare Journey Together Pokemon Holo Near Mint,,CS-UH42WY,8608884,623593,pokemon english,Journey Together,166,Illustration Rare,NM,Holofoil,,3.99,1,listed,,,
Chikorita (Cosmos Holo) 069 Holo Promo ME: Mega Evolution Promo Pokemon Holo NM,,CS-WTXVZF,9201674,686342,pokemon english,ME: Mega Evolution Promo,069,Promo,NM,Holofoil,Holo,1.49,1,listed,,,
Charmeleon (Cosmos Holo) 079 Holo Promo ME: Mega Evolution Promo Pokemon Holo NM,,CS-BDU2KQ,9289939,694693,pokemon english,ME: Mega Evolution Promo,079,Promo,NM,Holofoil,Holo,2.99,1,listed,,,
Venusaur ex 003/165 Double Rare 151 Pokemon Holo Near Mint,,CS-V8DY6A,7241756,502554,pokemon english,151,003,Double Rare,NM,Holofoil,,1.99,1,listed,,,
Espurr 095/088 Holo Illustration Rare Perfect Order Pokemon Holo Near Mint,,CS-R2HUEP,9190894,684418,pokemon english,Perfect Order,095/088,Illustration Rare,NM,Holofoil,Holo,5.99,1,listed,,,
Dragonite V SWSH154 Holo Promo Sword & Shield Promo Pokemon Holo Near Mint,,CS-F454W9,5154107,247298,pokemon english,Sword & Shield Promo,SWSH154,Promo,NM,Holofoil,Holo,5.99,1,listed,,,
High-Flying Ace 0009 Common Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-YD3ZYW,9156680,679765,mtg,Teenage Mutant Ninja Turtles,0009,Common,NM,,,1.49,1,listed,,,
Bard's Bow 174 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-WJDNSS,8744180,634137,mtg,FINAL FANTASY,174,Common,NM,,,1.49,1,listed,,,
Call the Mountain Chocobo 131 Common FINAL FANTASY Magic: The Gathering NM,,CS-6D3WY7,8743060,634049,mtg,FINAL FANTASY,131,Common,NM,,,1.49,1,listed,,,
EPF Point Squad 0145 Common Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-AYYWNY,9159526,679854,mtg,Teenage Mutant Ninja Turtles,0145,Common,NM,,,1.49,1,listed,,,
Anchovy & Banana Pizza 0057 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-UNDTSD,9162699,680249,mtg,Teenage Mutant Ninja Turtles,0057,Common,NM,,,1.49,1,listed,,,
Stuck in Summoner's Sanctum 76 Common FINAL FANTASY Magic: The Gathering NM,,CS-DN5CU8,8742520,634040,mtg,FINAL FANTASY,76,Common,NM,,,1.49,1,listed,,,
Blitzball 254 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-WXRSJ5,8752693,634963,mtg,FINAL FANTASY,254,Common,NM,,,1.49,1,listed,,,
Crustacean Commando 0033 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-EFQBCK,9157425,679782,mtg,Teenage Mutant Ninja Turtles,0033,Common,NM,,,1.49,1,listed,,,
Turtle Blimp 0180 Uncommon Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-ZFVWQJ,9167664,680444,mtg,Teenage Mutant Ninja Turtles,0180,Uncommon,NM,,,1.49,1,listed,,,
Item Shopkeep 142 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-ZTETTR,8716995,631854,mtg,FINAL FANTASY,142,Common,NM,,,1.49,1,listed,,,
Magic Damper 61 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-555RED,8745626,634189,mtg,FINAL FANTASY,61,Common,NM,,,1.49,1,listed,,,
You're Not Alone 44 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-VHZD7S,8728625,633060,mtg,FINAL FANTASY,44,Common,NM,,,1.49,1,listed,,,
Gaelicat 22 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-YBMTGP,8742340,634037,mtg,FINAL FANTASY,22,Common,NM,,,1.49,1,listed,,,
Light of Judgment 144 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-4U6ZS3,8738824,633740,mtg,FINAL FANTASY,144,Common,NM,,,1.49,1,listed,,,
Commune with Beavers 182 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-CKJ84D,8691595,630855,mtg,FINAL FANTASY,182,Common,NM,,,1.49,1,listed,,,
Qutrub Forayer 112 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-M6BU7W,8742880,634046,mtg,FINAL FANTASY,112,Common,NM,,,1.49,1,listed,,,
Zoo Escapees 0138 Common Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-3RXC2B,9160246,679866,mtg,Teenage Mutant Ninja Turtles,0138,Common,NM,,,1.49,1,listed,,,
Mind Transfer Protocol 0045 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-ZSQ67Y,9157605,679785,mtg,Teenage Mutant Ninja Turtles,0045,Common,NM,,,1.49,1,listed,,,
Cowabunga! 0113 Mythic Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-NEM8GF,9144436,679051,mtg,Teenage Mutant Ninja Turtles,0113,Mythic,NM,,,1.49,1,listed,,,
Monk's Fist 265 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-G689BA,8745075,634162,mtg,FINAL FANTASY,265,Common,NM,,,1.49,1,listed,,,
Purple Dragon Punks 0100 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-U8757M,9164219,680289,mtg,Teenage Mutant Ninja Turtles,0100,Common,NM,,,1.49,1,listed,,,
Rook Turret 69 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-MFGYE8,8742460,634039,mtg,FINAL FANTASY,69,Common,NM,,,1.49,1,listed,,,
Summon: Choco/Mog 35 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-R5945G,8747685,634384,mtg,FINAL FANTASY,35,Common,NM,,,1.49,1,listed,,,
Utrom Scientists 0056 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-Q9G353,9157845,679789,mtg,Teenage Mutant Ninja Turtles,0056,Common,NM,,,1.49,1,listed,,,
Sahagin 71 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-R2WT4E,8715640,631806,mtg,FINAL FANTASY,71,Common,NM,,,1.49,1,listed,,,
Aerith Rescue Mission 5 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-3JVVKX,8742280,634036,mtg,FINAL FANTASY,5,Common,NM,,,1.49,1,listed,,,
Call the Mountain Chocobo 131 Common FINAL FANTASY Magic: The Gathering NM,,CS-6D3WY7,8743060,634049,mtg,FINAL FANTASY,131,Common,NM,,,1.49,1,listed,,,
Aerith Rescue Mission 5 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-3JVVKX,8742280,634036,mtg,FINAL FANTASY,5,Common,NM,,,1.49,1,listed,,,
Stuck in Summoner's Sanctum 76 Common FINAL FANTASY Magic: The Gathering NM,,CS-DN5CU8,8742520,634040,mtg,FINAL FANTASY,76,Common,NM,,,1.49,1,listed,,,
Stomped by the Foot 0082 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-QYD3CN,9164404,680295,mtg,Teenage Mutant Ninja Turtles,0082,Common,NM,,,1.49,1,listed,,,
Sahagin 71 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-R2WT4E,8715640,631806,mtg,FINAL FANTASY,71,Common,NM,,,1.49,1,listed,,,
Shinra Reinforcements 118 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-22YCFC,8716645,631839,mtg,FINAL FANTASY,118,Common,NM,,,1.49,1,listed,,,
Slash of Light 32 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-45MECD,8732491,633185,mtg,FINAL FANTASY,32,Common,NM,,,1.49,1,listed,,,
Gran Pulse Ochu 189 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-59KRPW,8744575,634150,mtg,FINAL FANTASY,189,Common,NM,,,1.49,1,listed,,,
Adventurer's Airship 252 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-NXTUU9,8746741,634231,mtg,FINAL FANTASY,252,Common,NM,,,1.49,1,listed,,,
Clamorous Ironclad (Borderless) 312 Common Aetherdrift Magic: The Gathering NM,,CS-9T5WEH,8540318,615262,mtg,Aetherdrift,312,Common,NM,,,1.49,1,listed,,,
Summon: Fat Chocobo 202 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-X8PSNP,8748570,634419,mtg,FINAL FANTASY,202,Common,NM,,,1.49,1,listed,,,
Gigantoad 187 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-YRQJ39,8744430,634143,mtg,FINAL FANTASY,187,Common,NM,,,1.49,1,listed,,,
Qiqirn Merchant 65 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-TAFFBR,8732551,633186,mtg,FINAL FANTASY,65,Common,NM,,,1.49,1,listed,,,
Call the Mountain Chocobo 131 Common FINAL FANTASY Magic: The Gathering NM,,CS-6D3WY7,8743060,634049,mtg,FINAL FANTASY,131,Common,NM,,,1.49,1,listed,,,
Rook Turret 69 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-MFGYE8,8742460,634039,mtg,FINAL FANTASY,69,Common,NM,,,1.49,1,listed,,,
Qutrub Forayer 112 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-M6BU7W,8742880,634046,mtg,FINAL FANTASY,112,Common,NM,,,1.49,1,listed,,,
Foot Mystic 0063 Common Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-9Z729D,9163389,680265,mtg,Teenage Mutant Ninja Turtles,0063,Common,NM,,,1.49,1,listed,,,
Gran Pulse Ochu 189 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-59KRPW,8744575,634150,mtg,FINAL FANTASY,189,Common,NM,,,1.49,1,listed,,,
Goobbue Gardener 188 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-4JKD9B,8744505,634147,mtg,FINAL FANTASY,188,Common,NM,,,1.49,1,listed,,,
Gigantoad 187 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-YRQJ39,8744430,634143,mtg,FINAL FANTASY,187,Common,NM,,,1.49,1,listed,,,
Summon: G.F. Ifrit 163 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-QT9AN7,8748005,634393,mtg,FINAL FANTASY,163,Common,NM,,,1.49,1,listed,,,
Sephiroth's Intervention 116 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-TETYXD,8716505,631834,mtg,FINAL FANTASY,116,Common,NM,,,1.49,1,listed,,,
Ragamuffin Raptor 0130 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-FM4D7T,9159946,679861,mtg,Teenage Mutant Ninja Turtles,0130,Common,NM,,,1.49,1,listed,,,
Hill Gigas 141 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-M9R2X5,8743180,634051,mtg,FINAL FANTASY,141,Common,NM,,,1.49,1,listed,,,
Loporrit Scout 192 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-BSPVSG,8744635,634151,mtg,FINAL FANTASY,192,Common,NM,,,1.49,1,listed,,,
Primordial Pachyderm 0129 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-FYCH7N,9159886,679860,mtg,Teenage Mutant Ninja Turtles,0129,Common,NM,,,1.49,1,listed,,,
Insectoid Exterminator 0064 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-FMAJNQ,9163514,680268,mtg,Teenage Mutant Ninja Turtles,0064,Common,NM,,,1.49,1,listed,,,
Gigantoad 187 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-YRQJ39,8744430,634143,mtg,FINAL FANTASY,187,Common,NM,,,1.49,1,listed,,,
Sephiroth's Intervention 116 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-TETYXD,8716505,631834,mtg,FINAL FANTASY,116,Common,NM,,,1.49,1,listed,,,
World Map 270 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-5FSNDD,8736441,633411,mtg,FINAL FANTASY,270,Common,NM,,,1.49,1,listed,,,
White Auracite 41 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-MK44GQ,8712444,631570,mtg,FINAL FANTASY,41,Common,NM,,,1.49,1,listed,,,
Mechanized Ninja Cavalry 0156 Teenage Mutant Ninja Turtles MTG NM,,CS-Z5G7PS,9159706,679857,mtg,Teenage Mutant Ninja Turtles,0156,Common,NM,,,1.49,1,listed,,,
Mysidian Elder 145 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-VUCMZ3,8743620,634124,mtg,FINAL FANTASY,145,Common,NM,,,1.49,1,listed,,,
You're Not Alone 44 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-VHZD7S,8728625,633060,mtg,FINAL FANTASY,44,Common,NM,,,1.49,1,listed,,,
Negate 0047 Common Teenage Mutant Ninja Turtles Magic: The Gathering Near Mint,,CS-JPUNTG,9145506,679073,mtg,Teenage Mutant Ninja Turtles,0047,Common,NM,,,1.49,1,listed,,,
Ice Flan 55 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-KSGNM7,8728685,633061,mtg,FINAL FANTASY,55,Common,NM,,,1.49,1,listed,,,
Summon: Choco/Mog 35 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-R5945G,8747685,634384,mtg,FINAL FANTASY,35,Common,NM,,,1.49,1,listed,,,
Hamato Guardian Stance 0008 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-RYQYKF,9156620,679764,mtg,Teenage Mutant Ninja Turtles,0008,Common,NM,,,1.49,1,listed,,,
Item Shopkeep 142 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-ZTETTR,8716995,631854,mtg,FINAL FANTASY,142,Common,NM,,,1.49,1,listed,,,
Omni-Cheese Pizza 0176 Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-SXZ89V,9167599,680442,mtg,Teenage Mutant Ninja Turtles,0176,Common,NM,,,1.49,1,listed,,,
High-Flying Ace 0009 Common Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-YD3ZYW,9156680,679765,mtg,Teenage Mutant Ninja Turtles,0009,Common,NM,,,1.49,1,listed,,,
Foot Ninjas 0147 Common Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-QCMSMJ,9159646,679856,mtg,Teenage Mutant Ninja Turtles,0147,Common,NM,,,1.49,1,listed,,,
Adventurer's Airship 252 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-NXTUU9,8746741,634231,mtg,FINAL FANTASY,252,Common,NM,,,1.49,1,listed,,,
Mouser Attack! 0095 Common Teenage Mutant Ninja Turtles Magic: The Gathering NM,,CS-M5PXWD,9158601,679826,mtg,Teenage Mutant Ninja Turtles,0095,Common,NM,,,1.49,1,listed,,,
"Donatello, Turtle Techie 0037 Teenage Mutant Ninja Turtles MTG NM",,CS-9XXSQK,9157485,679783,mtg,Teenage Mutant Ninja Turtles,0037,Common,NM,,,1.49,1,listed,,,
Commune with Beavers 182 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-CKJ84D,8691595,630855,mtg,FINAL FANTASY,182,Common,NM,,,1.49,1,listed,,,
Fight On! 100 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-T5ZHEA,8738349,633689,mtg,FINAL FANTASY,100,Common,NM,,,1.49,1,listed,,,
Sephiroth's Intervention 116 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-TETYXD,8716505,631834,mtg,FINAL FANTASY,116,Common,NM,,,1.49,1,listed,,,
Prishe's Wanderings 193 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-H554US,8744700,634153,mtg,FINAL FANTASY,193,Common,NM,,,1.49,1,listed,,,
Coeurl 12 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-KVHZJZ,8716025,631816,mtg,FINAL FANTASY,12,Common,NM,,,1.49,1,listed,,,
Ice Flan 55 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-KSGNM7,8728685,633061,mtg,FINAL FANTASY,55,Common,NM,,,1.49,1,listed,,,
Ahriman 87 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-VK6329,8742580,634041,mtg,FINAL FANTASY,87,Common,NM,,,1.49,1,listed,,,
Blazing Bomb 130 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-4XRMDS,8743000,634048,mtg,FINAL FANTASY,130,Common,NM,,,1.49,1,listed,,,
Gysahl Greens 190 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-2RACUS,8746486,634223,mtg,FINAL FANTASY,190,Common,NM,,,1.49,1,listed,,,
Loporrit Scout 192 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-BSPVSG,8744635,634151,mtg,FINAL FANTASY,192,Common,NM,,,1.49,1,listed,,,
Malboro 106 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-9TE6TP,8695775,630943,mtg,FINAL FANTASY,106,Common,NM,,,1.49,1,listed,,,
Coeurl 12 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-KVHZJZ,8716025,631816,mtg,FINAL FANTASY,12,Common,NM,,,1.49,1,listed,,,
Light of Judgment 144 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-4U6ZS3,8738824,633740,mtg,FINAL FANTASY,144,Common,NM,,,1.49,1,listed,,,
Qutrub Forayer 112 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-M6BU7W,8742880,634046,mtg,FINAL FANTASY,112,Common,NM,,,1.49,1,listed,,,
Magic Pot 263 Common FINAL FANTASY Magic: The Gathering Near Mint,,CS-D342SJ,8748930,634436,mtg,FINAL FANTASY,263,Common,NM,,,1.49,1,listed,,,
Better Than One 128 Rare Unstable Magic: The Gathering Foil Near Mint,,CS-WUVUQM,3544867,152664,mtg,Unstable,128,Rare,NM,Foil,,1.99,1,listed,,,
Restless Bloodseeker (Showcase) 295 Innistrad: Crimson Vow MTG Foil NM,,CS-QJKUEP,5288608,253760,mtg,Innistrad: Crimson Vow,295,Uncommon,NM,Foil,,1.49,1,listed,,,
